사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
44228 ,2호선,22 ,건대입구,126 ,5 ,9623 ,1460 ,14836 ,13510 ,37972 ,20231 ,68908 ,48489 ,45903 ,37997 ,27000 ,28782 ,26978 ,32500 ,31530 ,40258 ,34265 ,45971 ,36059 ,47647 ,40142 ,51403 ,46727 ,57726 ,56081 ,73522 ,67738 ,104268 ,49314 ,68578 ,56465 ,38202 ,65555 ,42820 ,36361 ,31476 ,5702 ,12509 ,11 ,1229 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,23 ,구의(광진구청),19 ,0 ,10315 ,812 ,19150 ,7729 ,49602 ,11187 ,87169 ,32030 ,50175 ,18009 ,26377 ,15232 ,23444 ,15918 ,24310 ,18839 ,24546 ,21001 ,23319 ,22407 ,22854 ,27571 ,25000 ,31187 ,27842 ,43101 ,33737 ,73695 ,17255 ,54577 ,15295 ,34983 ,15801 ,39731 ,10499 ,28640 ,3148 ,10049 ,7 ,544 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,24 ,강변(동서울터미널),6 ,0 ,5911 ,1524 ,19080 ,14094 ,57827 ,18475 ,80562 ,35761 ,57663 ,30783 ,41688 ,29897 ,40462 ,29256 ,42096 ,32220 ,40815 ,35630 ,39590 ,38296 ,39660 ,43374 ,40388 ,47219 ,42043 ,60152 ,47418 ,86842 ,33747 ,64846 ,27000 ,41233 ,23227 ,42544 ,12455 ,28778 ,3664 ,8574 ,6 ,281 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,25 ,잠실나루,2 ,1 ,2201 ,1086 ,7824 ,7576 ,27056 ,15844 ,34292 ,28742 ,21235 ,18174 ,16224 ,13374 ,15897 ,11518 ,16323 ,15054 ,15697 ,15091 ,16759 ,13378 ,17743 ,13358 ,21242 ,13419 ,24316 ,17964 ,23225 ,29280 ,10912 ,23620 ,7972 ,13835 ,6734 ,16745 ,4074 ,11326 ,1093 ,3737 ,1 ,146 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,26 ,잠실(송파구청),80 ,9 ,8279 ,3333 ,32746 ,30113 ,81198 ,52019 ,119859 ,120473 ,88562 ,102586 ,56810 ,68373 ,57927 ,69755 ,65897 ,72542 ,73001 ,78769 ,75422 ,81223 ,83955 ,83611 ,99039 ,94147 ,131231 ,115765 ,155549 ,163183 ,103353 ,111842 ,108403 ,69362 ,90599 ,80104 ,53403 ,52610 ,8009 ,16007 ,7 ,561 ,1 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,27 ,잠실새내,6 ,0 ,3057 ,754 ,11271 ,6498 ,38242 ,12362 ,53023 ,21345 ,32662 ,23392 ,20338 ,18049 ,20829 ,19539 ,22878 ,21488 ,23868 ,23957 ,22363 ,25038 ,23621 ,28267 ,27913 ,32068 ,28368 ,43144 ,30889 ,62184 ,22924 ,44649 ,22342 ,23656 ,28869 ,26584 ,16066 ,18240 ,3002 ,6019 ,7 ,423 ,1 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,28 ,종합운동장,5 ,0 ,1182 ,736 ,4048 ,3853 ,11841 ,6481 ,16965 ,13497 ,12729 ,7978 ,7509 ,5340 ,7303 ,5355 ,7555 ,6070 ,7336 ,6575 ,6984 ,6990 ,7809 ,7565 ,8604 ,8599 ,10357 ,11212 ,11391 ,18092 ,5608 ,13213 ,4095 ,8178 ,4847 ,10466 ,2721 ,7212 ,583 ,2562 ,3 ,189 ,0 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,29 ,삼성(무역센터),114 ,0 ,3287 ,3668 ,4960 ,27756 ,11124 ,91970 ,15108 ,245240 ,15306 ,172120 ,16336 ,70238 ,23989 ,52814 ,30544 ,48600 ,38404 ,53720 ,48471 ,47452 ,61435 ,42607 ,75181 ,38941 ,135643 ,39656 ,216722 ,42568 ,119544 ,23925 ,93782 ,12170 ,81420 ,12549 ,38494 ,7762 ,4942 ,2708 ,1 ,1467 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,30 ,선릉,27 ,2 ,2550 ,5159 ,7776 ,28470 ,15294 ,82731 ,22886 ,212348 ,21917 ,169399 ,23715 ,70859 ,31476 ,51299 ,37626 ,42096 ,45529 ,48916 ,55262 ,44046 ,70434 ,39191 ,96890 ,38073 ,136088 ,37925 ,220041 ,41225 ,111873 ,26128 ,73612 ,15020 ,82357 ,16641 ,43272 ,11288 ,7553 ,4345 ,2 ,89 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,31 ,역삼,36 ,0 ,2690 ,6176 ,6430 ,32595 ,10368 ,96855 ,17778 ,254248 ,17676 ,211153 ,17860 ,78717 ,24205 ,46981 ,30260 ,42541 ,35105 ,47752 ,43173 ,43590 ,57221 ,36304 ,74533 ,33051 ,140442 ,37451 ,218329 ,41474 ,111539 ,25716 ,67469 ,14634 ,73578 ,15729 ,40331 ,10819 ,7224 ,4299 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,32 ,강남,82 ,3 ,4480 ,9265 ,12560 ,38216 ,27154 ,115123 ,44754 ,250495 ,37784 ,257749 ,38333 ,122271 ,54190 ,90730 ,69463 ,91855 ,82744 ,108085 ,90866 ,99583 ,115646 ,93675 ,131954 ,94085 ,189404 ,111070 ,274814 ,129839 ,177704 ,71758 ,154124 ,34111 ,199525 ,33398 ,109998 ,22297 ,15127 ,8494 ,4 ,6 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,33 ,교대(법원.검찰청),17 ,0 ,1747 ,5848 ,9150 ,20196 ,17523 ,41160 ,25279 ,124665 ,21093 ,105228 ,19353 ,53853 ,24229 ,41250 ,28058 ,37658 ,33588 ,44719 ,38922 ,39690 ,44734 ,36843 ,50039 ,36586 ,75225 ,42689 ,115737 ,51770 ,53895 ,31827 ,43851 ,17907 ,53470 ,20269 ,29400 ,12871 ,4963 ,4661 ,2 ,18 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,34 ,서초,17 ,0 ,993 ,3779 ,5441 ,15318 ,10643 ,34918 ,17715 ,93708 ,18477 ,68837 ,13744 ,28931 ,17531 ,20326 ,17896 ,16622 ,21460 ,20191 ,24100 ,18326 ,28692 ,16096 ,32382 ,16417 ,52936 ,16644 ,80945 ,17455 ,34612 ,12003 ,23181 ,7776 ,24375 ,9203 ,13134 ,6092 ,2745 ,2133 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 
44228 ,2호선,35 ,방배,6 ,0 ,1998 ,2632 ,7319 ,11726 ,16323 ,20687 ,23829 ,54960 ,18889 ,37226 ,13918 ,17207 ,14546 ,14054 ,15827 ,14637 ,17884 ,17026 ,18515 ,17203 ,19876 ,16479 ,25046 ,17833 ,33600 ,22460 ,51968 ,30053 ,22142 ,22555 ,16044 ,14039 ,17932 ,17478 ,9439 ,11905 ,2327 ,3935 ,1 ,9 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,36 ,사당,239 ,1 ,9420 ,2598 ,18851 ,21491 ,51372 ,28825 ,77821 ,49214 ,54136 ,39280 ,34785 ,31639 ,32596 ,32897 ,37345 ,35806 ,39374 ,37511 ,38627 ,38275 ,39822 ,46800 ,43654 ,60617 ,53469 ,80658 ,69498 ,114756 ,45395 ,80736 ,44257 ,48963 ,55503 ,56896 ,32394 ,39360 ,5576 ,14354 ,5 ,991 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,37 ,낙성대(강감찬),38 ,10 ,9170 ,1484 ,19379 ,6256 ,57399 ,11753 ,96554 ,29037 ,62030 ,24503 ,32475 ,19303 ,28433 ,18157 ,31047 ,21689 ,31067 ,22863 ,28519 ,24848 ,28527 ,29225 ,29900 ,32588 ,35291 ,46231 ,38024 ,76238 ,21053 ,69587 ,17062 ,43603 ,17300 ,50574 ,11431 ,38472 ,3104 ,13096 ,1 ,806 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,38 ,서울대입구(관악구청),3192 ,16 ,22028 ,1842 ,31647 ,9827 ,93230 ,20861 ,143939 ,47356 ,92555 ,47814 ,50420 ,39661 ,46888 ,37590 ,51170 ,42594 ,53093 ,46182 ,50916 ,48439 ,52997 ,54822 ,58225 ,63815 ,64026 ,84333 ,70447 ,136597 ,42819 ,117764 ,39813 ,67771 ,46112 ,76338 ,27232 ,59535 ,6294 ,20700 ,1 ,4622 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,39 ,봉천,72 ,2 ,12053 ,1178 ,21523 ,5013 ,60766 ,8024 ,94690 ,20523 ,55039 ,15101 ,29695 ,14906 ,25363 ,16249 ,26785 ,18539 ,27160 ,19969 ,24340 ,22596 ,23136 ,28914 ,22877 ,31347 ,23924 ,42313 ,26542 ,67963 ,15236 ,59821 ,12229 ,36918 ,12833 ,41661 ,6939 ,30045 ,2086 ,11101 ,2 ,80 ,0 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,40 ,신림,178 ,9 ,30145 ,2808 ,58174 ,14807 ,156999 ,23971 ,243617 ,47383 ,144327 ,40641 ,76795 ,34579 ,65962 ,36795 ,69564 ,44885 ,67528 ,51369 ,62468 ,58302 ,60773 ,71869 ,64973 ,85185 ,68248 ,120262 ,69362 ,199673 ,43918 ,179044 ,41305 ,107191 ,45043 ,123703 ,28430 ,91172 ,7084 ,38127 ,2 ,72 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,41 ,신대방,79 ,2 ,18676 ,1180 ,27848 ,7191 ,67127 ,13275 ,100366 ,24569 ,60484 ,16949 ,33868 ,13848 ,27526 ,15169 ,28840 ,18244 ,28009 ,20312 ,24471 ,23225 ,23614 ,30346 ,25463 ,35394 ,27688 ,48221 ,31519 ,74354 ,16985 ,67147 ,13231 ,43142 ,11135 ,55287 ,7020 ,39900 ,2063 ,15721 ,1 ,25 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,42 ,구로디지털단지,128 ,1 ,29648 ,4440 ,40974 ,18638 ,103377 ,64280 ,144335 ,199480 ,88684 ,123196 ,50758 ,47118 ,47270 ,36957 ,52172 ,39616 ,53792 ,45178 ,51267 ,46382 ,53519 ,54585 ,61585 ,61392 ,100230 ,86470 ,175399 ,129566 ,88523 ,107381 ,55098 ,65976 ,52680 ,77742 ,30598 ,56925 ,5566 ,22158 ,0 ,56 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,43 ,대림(구로구청),236 ,3 ,24708 ,2556 ,24047 ,8382 ,48746 ,17475 ,71969 ,44290 ,46558 ,28219 ,28032 ,23192 ,24057 ,24641 ,27001 ,25309 ,27573 ,26461 ,26291 ,27121 ,26560 ,32652 ,28403 ,35546 ,35430 ,48097 ,44421 ,56988 ,21822 ,43100 ,15400 ,30631 ,14237 ,43470 ,8087 ,31167 ,2437 ,11099 ,1 ,235 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,44 ,신도림,2727 ,27 ,26120 ,3526 ,36653 ,12819 ,98472 ,29988 ,104741 ,89267 ,65671 ,52537 ,45328 ,48253 ,44846 ,44566 ,52216 ,48320 ,54955 ,51301 ,53936 ,50884 ,56010 ,57822 ,62474 ,64299 ,75406 ,82636 ,101049 ,127579 ,58940 ,98284 ,53273 ,56286 ,56131 ,65631 ,27783 ,48438 ,5083 ,20279 ,20 ,3615 ,1 ,1 ,1 ,0 ,0 ,0 
44228 ,2호선,45 ,문래,9 ,0 ,2646 ,1497 ,9395 ,7703 ,31464 ,26945 ,35294 ,96989 ,20243 ,45908 ,14031 ,18101 ,14203 ,15134 ,17089 ,16785 ,17878 ,18287 ,18359 ,17267 ,20344 ,18026 ,25347 ,20438 ,43503 ,25403 ,82928 ,40771 ,29967 ,30375 ,21996 ,16354 ,23984 ,17747 ,12870 ,12337 ,2103 ,4407 ,1 ,158 ,0 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,46 ,영등포구청,22 ,0 ,4140 ,2197 ,9660 ,10141 ,30239 ,28808 ,35955 ,99099 ,23022 ,44856 ,17598 ,21649 ,18727 ,18459 ,20678 ,19265 ,21799 ,22083 ,22960 ,20844 ,25155 ,20692 ,28702 ,22373 ,42949 ,27406 ,85224 ,42233 ,30012 ,29491 ,23357 ,17130 ,24367 ,19848 ,13045 ,13885 ,2751 ,5671 ,2 ,204 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,47 ,당산,20 ,0 ,4496 ,1968 ,11801 ,8721 ,32591 ,20344 ,41285 ,58525 ,24949 ,29374 ,16637 ,15469 ,16911 ,14087 ,18668 ,15780 ,19199 ,17512 ,18175 ,17799 ,18910 ,20138 ,21396 ,23805 ,30048 ,33471 ,46503 ,53752 ,21218 ,38296 ,16849 ,24239 ,19700 ,29046 ,11771 ,19357 ,2742 ,7551 ,7 ,215 ,0 ,1 ,0 ,0 ,0 ,0 
44228 ,2호선,48 ,합정,25 ,0 ,5261 ,2236 ,12115 ,10893 ,32211 ,24556 ,43881 ,68434 ,28427 ,60618 ,19849 ,33273 ,21366 ,34195 ,25811 ,38159 ,29615 ,43900 ,31489 ,40981 ,33947 ,39591 ,40067 ,46283 ,55747 ,56783 ,86597 ,76524 ,56598 ,51044 ,49327 ,25870 ,62972 ,26836 ,37231 ,18822 ,6699 ,8614 ,2 ,331 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,49 ,홍대입구,179 ,3 ,7746 ,2199 ,14946 ,10266 ,42211 ,21853 ,55953 ,71274 ,36604 ,80753 ,27484 ,59046 ,33753 ,72007 ,41480 ,94681 ,49012 ,108001 ,55369 ,107118 ,68385 ,109145 ,87155 ,108865 ,109373 ,114214 ,132929 ,131773 ,106959 ,83946 ,121604 ,40328 ,156874 ,38370 ,85050 ,27251 ,12217 ,12973 ,70 ,1535 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,2호선,50 ,신촌,35 ,2 ,3556 ,1968 ,9117 ,12095 ,23997 ,25224 ,34967 ,54877 ,24805 ,65349 ,23967 ,43796 ,29254 ,41269 ,36505 ,46620 ,37849 ,53043 ,41314 ,47369 ,48294 ,45111 ,57340 ,46626 ,69419 ,55645 ,69257 ,73457 ,48977 ,47463 ,58117 ,24749 ,63545 ,26524 ,37218 ,19002 ,6700 ,8382 ,0 ,34 ,0 ,0 ,0 ,0 ,0 ,0 
